location,name,dm,cost_date,dcp_food,dcp_paper,dcp_supplies,br_supplies,sales_tax_dcp,for_the_week_end,production,total_food_cost,total_paper_cost,flash_food_total
331196,"710 McLean Ave, Yonkers",Irfan Mamsa,2025-06-04,0,0,0,0,0,0,168.34,168.34,0,168.34
359494,"987 Cent Park Ave, Yonk",Irfan Mamsa,2025-06-04,0,0,0,0,0,0,252.58,252.58,0,252.58
347066,"433 Riverdale Ave, Yonkers",Irfan Mamsa,2025-06-04,0,0,0,0,0,0,175.34,175.34,0,175.34
340194,FAC 2365 CPA LLC,Irfan Mamsa,2025-06-04,0,0,0,0,0,0,105.43,105.43,0,105.43
332974,"132 Bronx Riv Rd, Yonk",Irfan Mamsa,2025-06-04,0,0,0,0,0,0,153.16,153.16,0,153.16
331991,"1591 Centr Park Ave, Yonk",Irfan Mamsa,2025-06-04,0,0,0,0,0,0,163.41,163.41,0,163.41
348518,"433 Lincoln Ave, Pelham",Irfan Mamsa,2025-06-04,0,0,0,0,0,0,172.82,172.82,0,172.82
332915,"851 Yonkers Ave, Yonkers",Irfan Mamsa,2025-06-04,0,0,0,0,0,0,215.21,215.21,0,215.21
345684,"680 Centr Park Ave, Yonk",Irfan Mamsa,2025-06-04,0,0,0,0,0,0,149.16,149.16,0,149.16
307075,"132 Tuckahoe Road, Yonkers",Irfan Mamsa,2025-06-04,0,0,0,0,0,0,163.15,163.15,0,163.15
